  IMMRBAR  @ 0x000  = e0000000
  SPRIDR   @ 0x0A0  = 00000000
  SPCR     @ 0x0A4  = 8000001a
  SICRL    @ 0x0A8  = 00000000
  SICRH    @ 0x0AC  = 00000000
  RCWLR    @ 0x900  = 44060000
  RCWHR    @ 0x904  = 00606c00
  RSR      @ 0x910  = 00000000
  RCR      @ 0x91C  = 00000000
  SPMR     @ 0xA00  = 44060000
